tweet,label
الله لا يرفعه من مكانه اللي برفع الاسعار,0
شكرا دكتور فكلماتك لها بالغ الأثر في نفوسنا,1
وهاد اللي بخبص حكي ملوش معنا ابن مين هاد,0
احس بمرض لاشفت هالبرنامج,0
اسفل من بعضهم,0
اللهم ارزقنا الصحبه الصالحة,1
يا اخوان مش عارف ليش النووي و احنا عندنا النووي الطبيعي شمس ورياح نسبة سطوع الشمس بالمملكه على مدار العام يوم من يوم وعندنا بالاردن اذا خط ماء بينضرب بيقعدوا اسبوع الى اسابيع لما يصلحوه ايش بده يصير فينا بكره مع النووي بالاضافه الى انه ما عندنا ماء نشرب من وين بدنا نجيب للتبريد الله يهديهم,0
بجد موضوع رائع وانا اجد انه مناسب ايضا لهذا الوقت يارب احفظنا من جميع الفتن,1
يخرب زوءك,0
كل سنه وانتم طيبين,1
يناس جلدة الغاز مجانا,0
روح انتحر,0
اللهم استخدمني ولا تستبدلني,1
كنا نقول عاهات,0
اجل اسقاط حكومة طروانة,0
اللهم اعصمنا م معصيتك,1
ما سال لله الهادي الخالق,1
صدقت,1
اللهم اجعلنا من اللذين يصلحون فى الارض ولا يفسدون,1
هيك بدهم الخونه اتباع ايران الاخوان المفسدون,0
اللهم إني أستغفرك من كل الذنوب والمعاصي وأتوب إليك,1
يارب اهدنا وقوى عزيمتا الى ما تحب وترضى,1
كانت تسوي مقلب انها محترمة بعدين اعترفت انها,0
رائع,1
اسفل من بعضهم,0
الله يقويك,1
الفاتحة علي ارواح الغلابة,0
يستهبلووا,0
صباحات العقول اليقظة و الهمم الحيية المتوثبة,1
احلى اشي الواحد يوكل بدون ما يطبخ,1
اوقف القرار للحفاظ على الوطن,0
ربك دايما جنبك لو نديته هتلاقيه,1
طوقان بدور ع منصب يضل فيه عشر سنين لقدام لاسئلان في نووي و لا سلامة الاردن,0
رجعتولنا الفرحة اللي نسيناها,1
الله يتئبل صلاتنا,1
والله لو يجمعونهم على شاطئ البحر الميت ويخلونهم يصرخون على اليهود ولمدة ثانية ليهربون لقبرص عن طريق البحر سباحة,0
اللي لازم يصير اضراب جميع موظفي الدوائر الحكوميه و الخاصه لمدة اسبوع و شوف بعدها,0
ربنا يكرمك يا دكتور,1
و الله انكو ما بتخافو الله,0
غبيي من جده,0
اللهم ارزق ابناء المسلمين زوجات صالحات وبنات المسلمين ازواج صالحين,1
هاد برنامج وسوبر ستار بنامج شوف البريطان شو بعملو فعلن سوبر الهبل,0
حفظ سور جديدة و تسميعها فى الصلاة يساعد على التركيز,1
الله يثبت قلبك على ديننا الاسلام,1
يلعن الساعة الي بشرت فيك,0
اللهم قني عذاب النار و ادخلني جناتك,1
و الله احلا شيء انه الواحد يهاجر او يشتغل حرامي عشان يقدر يعيش الله لا يوفق الي كان السبب و الله حرام,0
يجب على كل مسلم الإعتزاز بدينه في جميع الأمور صغيرها و كبيرها,1
يارب وانت إدعيلي,1
شكرا لك,1
تبتنا ياربن علي دكرك وشكرك و حسن الخشوع في صلاتك,1
الى من اشكوك,0
اللهم استخدمنا في طاعتك,1
اللهم أنزع من قلبى حب كل شىء لا تحبه,1
اغبياء,0
عجل يا الله,1
اللهم أبعد عنى شهوات الدنيا وقربنى منك وأغفر لى ولكل المومنين,1
باذن الله بديت ولو مؤخرا بنفسى الحمد لله,1
و الله حرام و الله موتوه لشعب الاردني من وين بدنا نجيب الكو من وين يا الله ارحمو من في الارض يرحمكم من في السماء و الله حرام,0
هاض بني ادم حقير,0
صباح الحب من الله علينا جميعا,1
اللهم اكفنا بحلالك عن حرامك,1
لانهم يمكن يكونو قاهرينك,0
لا دة ذكاء,0
نعم الوقت يمر بسرعة,1
الله يسعد كل البشر امين يا رب,1
هؤلاء معوقين,0
فاشل فاشله برنامج فاشل,0
لازم اخر ما توصل اليه العقل البشري من غباء اخوكم حمزة اللهواني من الاردن,0
ان شاء الله يتقبل الله صلاتنا و يزيد في صلاتنا الخشوع,1
قصد وهو كبير,0
اللهم أعني على ذكرك و شكرك و حسن عبادتك,1
كرامتي افضل من سعادتي,1
هه انا من ناحيتي هاظ الانسان الي قاعد بلنص اقرف واحد,0
تحيه لأهل فلسطين الغاليه,1
بعرف بس مو حلو,0
يلعن اوم الطفش,0
بدكو تخلونا نشحد,0
الله يبارك لنا فى ايامنا,1
طول عمر بخاف أن أمثالك يصبحوا مطربين,0
ان الله على كل شيء قدير,1
الظاهر أنه جايين يستهبلون عالحكام بس,0
المرأة تهان وتعامل كأداة جنسية تحت مسميات عديدة كالمسيار والمسفار والمصياف إلخ وكلو بتمنو,0
ربنا يكتر من امثالك يا مصطفى,1
يا سلام ما أحلى أن يواسي المسلم أخاه هذه هي أخلاق الإسلام التي أصبحنا نفتقدها يوما بعد يوم,1
البرنامج فاشل جدا,0
الحمد لله اصبح على وجهك المشرق كل يوم,1
حينما ننجح فى الانتصار على انفسنا,1
خمسة مليون يوقعوا علي رفض المفاعل لانة سوف يدمر الاردن لان التقدم ياتي من خلال عدم النهب للمال العام يعني يجب وقف النهب وهذا مشروع فاشل من يومة,0
يمكن جايين سكارى ويغنون,0
كلام طيب,1
للهم أملأ قلبي بحبك وحب نبيك وحب كل عمل يقربني إلي حبك,1
بيجيبو الشيوخ ليسهزاءو فيهم,0
صرماتي براس اهلك,0
انا متشائم و رح اضل متشائم حتى ينزلوا البنزين,0
اللهم ارزقنا من خيري الدنيا و الآخرة و ارزقنا حسن الخاتمة و ارزقنا الفردوس الأعلى مع من نحب و ارزقنا لذة النظر إلى وجهك الكريم,1
شو نوع الحشيش ؟؟,0
اللي صوةتو بشبه ابو وديع ليش بتمسخرو عليه,0
لا اله الا الله محمد رسول الله,1
البسك الله ثوب الصحه و العافيه صباحك ورد,1
الله يخزيك,0
والله عيب بهدلتو حالكم,0
قول يارب ادعي كتير انك تكره هذه المعصيه وربنا كريم,1
يا شيخ خالد ربي يحفظك نبي منك طلب,1
كس امكم يالعرب يابهايم يابقايا حضارات الامم,0
ولا مستحيل يطلع واحد يفشل نفسه كذا,0
اللهم اجعلني مقيم الصلاة و من ذريتي,1
فعلا فضايح ما توقعتها في شبابنا المتخلف اخلاقيا وصوتيا وبدنيا اها وعقليا بالتأكيد,0
انت جيت في وقتك والله,1
الا يكفي ان نسبة مرضى السرطان في الاردن اعلى نسبة عالميه بسبب مفاعل دايمونه الاسرائيلي و بكل جهل نضعهه في بلدنا؟؟,0
هات ناس تفهم والمثل بحكي اسأل مجرب ولا تسأل خبيير,0
الطاقة الشمسية هي البديل و ليست النووية,0
صلوا علي من بكي شوقا لرؤيتنا,1
لقد اتحفتمونا بلجوكم لجيبتنا التي انفجرت بفضلكم و الفاسدين يتنعمون باموالنا فهل اصبح فاسدا لأعيش,0
الرفض القاطع للمشروع لانه بس يتم و يشتغل تمام رايح ينباع او يتم تاجيره و نصير نشتري وقود مخصب و يصير اغلى من الكهربا لانه للاسف ما فيه شي بعيد عن ايدي المفسدين و الاستغلاليين او يصير زي مشروع تسمين البقر ؛ينتجو الطاقه و تروح لاطراف خارجيه خالرج اطار حاجة العامه,0
الله يبارك فيك لانك غيرت في صاحبتي كتير وهي من المتؤثرين فيك وهي اللي عرفتني عليك,1
هذه رويدا عطيه يا الخبوول,0
من جد مجنون,0
كل شخص فينا بيتمنى الخشوع في صلاته يا رب يتقبل صلاتنا و صيامنا,1
الك يوم يا ظالم,0
احنا ما بدنا اياه لانا ما منفهم المفاعل النووي فوق طاقتنا صعب علينا و بكرة بذكركم و سألوا الباص السريع الثقة معدومة القمح فاسد المصفاه مش حسب المواصفات الخضار والفواكه مواد كيماوية شوارع مش مصانة حفر ومطبات الخ الافضل استغلال الطاقة الشمسية او الريح او الماء ليس هروب من التطور وانما الابتعاد عن الفشل الأكيد عبر التجارب,0
الدول المتقدمة الان تتجه لستخدام الطاقة المتجدده لانها اقل كلفة وليس لها مخاطر على البيئة والانسان ونحن الان نعاني من ضائقة مالية كبيرة وشحة مياه شديدة وكلنا يعلم مدى حاجة المفاعل للمياه اذكركم فقط بما حدث في اليابان وهي الدولة الاكثر تطور في مجال التكنولوجيا وهي عبارة عن جزر وكذلك كم أثر علينا المفاعل النووي الاسرائيلي وحالات السرطان المنتشرة ولو لاحظنا التشوهات الخلقية الاكثر في جنوب البلاد,0
حسبنا الله و نعم الوكيل فيكوا,0
فعلا احس في نفسي دللك,1
كلامك يشعرني بالتفاؤل و يمدني بالقوة و الاستمرار,1
مافى أجمل من قوله يارب ومن يتجه الى الله عز وجل لن يتركه الله ابدا,1
تحفة,1
انت عنجد بنت فاشلة,0
ثبتك الله يا أستاذي و نصرك,1
سخيفه ب قووه,0
امين,1
الحمد لله مااكرمك يا الله,1
يا هيك الشباب يا بلاش,1
كن انت ذلك الشخص,1
هل الثقه بالمشتركين زاايده لدرجة العمى أو ان محيطهم يجاملهم بجمال صوتهم,0
عذبت ام العود,0
إلى بشار الاسد كــس أخــتــك,0
عاهاتك يا وطني,0
صار عناد وكره و قلة أدب بس ظلموها,0
اعنكم الله و تقبل منكم و يسر طريقكم,1
ابتسم امام كل الناس لتسرهم و تجبر خواطرهم فتبسمك في وجوههم صدقه,1
لاا وربي صوتها غلييظ جدا,0
صباح الاماني المحققه باذن الله,1
مقال رائع والله يهدي بناتنا ياارب ويرجعهم للصواب,1
رح اجتهد باني اكون حلوة يوم عرسي مش اكون متل القردة,0
القدوة الحسنة خير من النصيحة,1
ربنا يحميك,1
نعم مصر عايزه راجل مش واحد وسخ بيقرف,0
اتقوا الله فينا بكفي رفع اسعار و الرواتب بالحضيض,0
اكيد حياتي ما في حدا بشبهك لو في كان نتحرت زمان,0
اغرورقت عيناي بالدموع,0
الحمد لله على نعمة الإسلام,1
الزمن الجميل,1
يجب على الحكومة العودة بالتوقيت الى الساعة الثالثة,0
الله يلعنو,0
احبك ربي,1
الهم اجرنا من الظلم ولا تجعلنا من الظا لمين,0
بطلت كتير وكل ما ابطل والتزم مع ربنا برجع تاني وكل اما ارجع ارجع اكتر من الاول,1
ولا بقلو بيضه,0
عاهات,0
وقعنا ولا ما وقعنا يللي بدهم يعملوه بيعملوه,0
فعلا الله يبعدنا عن الكذب,1
عندك حق أنت أمل جميل و مشرق,1
فعلا برنامج ساقط واللي بيتابعه أسقط منه,0
اعلن الانسحاب يا حمار,0
ما فيها شك,1
أخرج أهل سوريا من الضيق إلى الفرج,1
عيش زي ما بدك و ما ترد على حدا ابدا,1
هبله,0
الحمد لله الحمد لله الحمد لله لن يسعنا الكون حمدا و شكرا ففضلك ربي اعظم و انت ربنا الاكرم,1
كلو حكي فاضي,0
يا اخي وين ما تروح بالاردن تخطى مناطق الشخصيات المهمة بالبلد و الباقي كله مكرهة صحية,0
حيوان,0
تماما اللهم لا تحرمنا الصدق في الكلام,1
كافر ملعون جهنم باذن اللة,0
الحمد لله الذي نصرنا نصرا مؤزرا,1
اهبل ولك,0
امتنا ما في زيها,1
طبعا محدش يقدر بس سبحان الله فيه ناس عايشين من غير مياه,1
أهلا وسهلا بحضرتك,1
شباب صايع مو ملاقي ياكل و مخه فاضي و متخلف عقليا,0
قلة ادب,0
صدقت و الله يا شيخ,1
والشرهه على الاغبياء اللي معطينك لايك,0
العبرة بالختام,1
وبعدين ترا مالقت دعم على قولة الكبارية ورقة خسرانه,0
اللهم انك عفو تحب العفو فاعف عنا,1
اللهم زيد المسلمين وبارك فيهم,1
علي الطﻻق الي في رجلك يا حجه بتسوى كل سﻻح العرب لمعفن,0
الله ينتقم منهم اجمعين اللي في بالي,0
وهابي تاج راسك يا اللي تاكل من وراك و اذا في الوهابية شئ مخالف لكتاب الله و سنة نبيه اذكره و لا تكون كالببغاء تردد خلف الناعقين لتثبت انك على الصراط و انت في هوة الخراب و طنت من طنوت سوريا,0
صبحك الله بالخير,1
رب كريم,1
جميله اوى اوى اوى يارب الكل يحس معنى الكلام ده,1
كلام رائع وفي وقته وربنا قادر علي كل شئ,1
ربنا اجعلنا من الصالحين و اهدنا الي الريق المستقيم,1
إحتمال ما يشارك الليو االبايخ,0
انت ما شفت النسخة الاوروبية والامريكية والماليزية من نفس البرنامج فيها بلاوي اكثر من كذا بس حنا العرب فينا عقدة النقص والتخلف,0
يخرب الدلع,0
عجبتنى الحلقه,1
يلي مكتوب على الجبين بتشوفوا العين يعني اذا ناوين على النووي ما راح يفيد المليون توقيع مو الف توقيع مع الاحترام الشديد,0
عاهات,0
يارب ساعدني وقويني وساعدني أخد حبيبي,1
الثالث لاتعليق,0
صدقت يا أستاذ عمر,1
و الله و الله عباره عن أعاده تدوير للمخلفات النوويه و الأردن منها بس الأرض و الجمهور بتراب الفلوس ارحمو هل البلد هلكتوها صرنا علا لسان الكل انا إحنا حراميه و بس كلشي انباع بالبلد الواحد خايفه بكره يبعيوه كمان ارحمونا الله لا يسامحكم,0
ربنا لتزغ قلوبنا بعد إذ هديتنا,1
واحد هامل,0
احسنت كلام دقيق جد,1
كثر الله من أمثالك و زادك الله علم,1
عاهاتك يا وطنعاهاتك يا وطن,0
و إذا فادنا بشي رح يكون في خسارة كبيرة بالاخر,0
انتم يا قطريه شن عارفكم السياسه انتم لاعندكم جيش ولا استراتجيه ثابته انتم عملاء امريكا يا خونه,0
يا اخوان احنا قرفنا,0
كلمات رائعه و حلوه و لا احلى ان يكونو في النهايه رائعون,1
اللهم اجعل سريرتي خير من على نيتي و اجعل على نيتي صالحة,1
خليه يرفع لكن اللي عنده وطنيه و انتماء يصف سيارته بالشارع و يروح على الشغل مشي,0
مطلوب نصيحه منك لكي نستحضر الخشوع,1
سخيف مره يمسخرون الواحد ومافي شي يضحك اصلا,0
لما اجد فيها الا الجراح,0
عاهاتك يا وطن,0
لآ مش فاهماك,0
حسبي الله عليكم الله بحاسبكم على كل حد بينفتن بسلبكم الله لا يسامحكم,0
من اين لنا المياه لتبريد المفاعل النووي فهو يحتاج الى نصف مليون مترا مكعبا من المياه لتبريده سنويا على الاقل والقاصي والداني يعرف اننا في بلد يعاني من شحة المياه اما كعلوم ومعرفة بالعلوم النووية والطاقة فانا احب ان يتعلمها المتعلمين في بلادنا بدءا من جدول مندلييف للعناصر مرورا ب العناصر المشعة ونظرية اينشتاين للطاقة ونظريات الفيزياء الكمية والبحث في عمر البروتون والنيوترينو والكواركات واللبتونات والuncertainty principle والنظائر المشعة وتفتيت الذرة واشعة جاما وبيتا والفا والراديوم والبلوتونيوم والبروتونات وكافة النظريات بما فيها انواع المفاعلات النووية وتجارب الامم فيها مثل اليابان والمانيا وروسيا وفرنسا وامريكا وللعلم فقط انها علوم نظريا سهلة وبسيطة ويستطيع فهمها حتى الانسان ذو الخلفية والرغبة العلمية وعلى جميع او على الاقل جزء من علمائنا ان يقرروا المسار الذي يجب ان نسلكه ونسير فيه بهذا الخصوص بموازنة المخاطر والمكاسب وبعدها وعلى اساس النتيجة والفائدة الواضحة يتم الاعتماد لقرارهم ان كان سلبا ام ايجابا,0
اخذت القرار لكن برجع تانى وخايفه اموت وانا بغضب ربنا سبحانه وتعالى مع انى انا حسه انى قلبى مليان وعامر بنور الله اعمل ايه اجوك انصحنى,1
هه ما بقدروا,0
قرفت انتحر عن الدرج,0
نهايه مواطن طفران,0
اللهم اكثر من امثالك يا دكتور عمرو و الله نفسنا تشرفنا فى مسجد الصديق بشرتون هليوبوليس,1
انا بحبك في لله,1
دعواتك لنا يا شيخ سلمان بالتوفيق و الفلاح و الظفر و حسن الخاتمة,1
والله انو نذل,0
ربنا يوفق الجميع علي الخشوع,1
ربنا يكفينا هذا الشر,1
اللهم كما حسنت خلقنا حسن أخلاقنا,1
ربنايحفظك ياشيخ,1
مهزلة ياعيب الشووم,0
الدين أخلاق,1
صباح الورد الجوري الحمر والخمري,1
تحطم ماتبقى من اطيافي,0
احلى شىء النهاية الباقية صح كلامك,1
يارب اجعلنى من الصالحين,1
و الله انو مكب نفايات نوويه و أنا اشتغلت بالمفاعل و موقعه بعلان بالسلط,0
هاي نتيجة انه ينحط انسان في موقع مسؤوليه,0
بعدين الاردن تسبح على بحر من النفط و الصخر الزيتي اشتغلو فيه بالاول بيكفينا سنه,0
كأنهم خرفان العيد عند المسلخ,0
ارجوك يا استاذنا الفاضل ادعيلي بالنجاح في مسابقة المجستير العام القادم والشفاء بارك الله فيك,1
شكلك احول موب حوله,0
و نجدد قلبنا بالإيمان مع بعض,1
مع مين بتحكي بتول انشالله مع حالك,0
ما انتو ادرى انو الموضوع مش لصالح الصحه العامه بعدين مش كل اشي بتعملو امريكا لازم نعملو و نصير امعه اصلا احنا دول امعه شو بتحكي امريكا ولا الضالين امين نفسي امريكا تقلدنا باشي واحد,0
النية دايما بتكون موجودة وربنا المعين,1
والله شوي وتجيني جلطه لما ماطلعت الاولى ذيك المره,0
سامجين بس يمسخرون المشتركين وقاحه,0
يا ريتك ما كبرت,0
ما حد بيتحكم فيي,0
بسعد ربك وصباحك عسل انت وكل من قال انا اردني وبحب القياده الهاشميه وتراب الاردن وسنح الاخوان ولاد كلب على هالصبح,0
ليت كل ايام السنة رمضان,1
الله الله على اخلاق الصحابه اصحاب رسول الله,1
للهم اعنا على ادراك هذا المعنى العظيم يا رب,1
اللهم أرضنا و أرضى علينا,1
إبدااع يا أبو يوسف و الله حرام يطلع من البرنامج العتب على المصوتين أتوقع لك مستقبل زاهر يا بطل صوت جميل جدا اللي يقول إنه إنظلم يعطيني لايك,0
الجيل الي هيحرر فلسطين شوفه في سوريا يقاتل العلويين الكلاب لكن ربي يعلمهم فنون القتال ويربيهم،،,0
يارب كون معاي وإنو من ترك شيئآ لله عوضه الله خيرآ منها في الدنيا قبل الآخره جربو وحتشوفوا بعينكم إللي حيحصل,1
اضحك تضحكلك الدني,1
يا جماعه دعواتكم لاهل سوريا فهم في اشد الحاجه لدعائنا لنرفع اكفنا لرب الكون ان يحميهم و يحمي كل امة محمد لا تنسوهم من دعائكم و المال الذي وهبكم الله فيا بني ادم يوما لك ويوما عليك و كما تدين تدان,1
و كمان بالمقارنة بالدول الأخرى في الجانب التقني فإن مفاعل Atmea الفرنسي الياباني و مفاعل AES الروسي لم يتم تجربة تشغيلهما بعد فالأول لم يبدأ العمل على تصميمه بعد ، لذا لا توجد مراجعة شاملة و عميقة لسلامة التصميم، و بغض النظر عن الأردن فلا توجد أي آفاق تجارية لهذا النموذج حتى اللحظة أما عن تصميم AES فتم في الهند و ذكرت تقارير أنه جاهز للعمل في نهاية ، و لم يتم تشغيله لحد الآن,0
عنجد بخزي,0
الله يكتر من امثالك يارب,1
بكتب ع اوراق الشجر يقول موهبتي وانا صغير الله يسامح اللي كاذب عليه,0
ما عندهم هو قلة احترام للمشتركين وفلة ادب تجاه المشاهدين,0
يا مسهــل يا رب,1
ما شاء الله جميله جدا,1
مبرد وجوهكم,0
انت واحد عنجد قليل ادب الله يموت الي امثالك,0
لا هديله بالجزمة طبعا,0
اللهم كن مع اخواننا في سوريا,1
يا الله إنك تلطف بينا يا كريم أغلب محطات الوقود اليوم رفضت التعبئة هي و مراكز توزيع الغاز الله و أكبر على المحتكر الله أكبر عليه نحتسبه عند رب العباد,0
نعم رجل بهمة يحيي الله به أمة,1
هاض بعرفو بس مقرف,0
سبحان الله قادر على كل شىء,1
ضع امنياتكم في سجده انساها وتاكد ان الله لن ينساها ابدا,1
اصلي يروح الهم ينشرح صدري ب الصلاة,1
الثاني رايح فيها,0
وش هالتحف والله مساكين ماكلين مقلب بقوه,0
مش من بني ادم انتي من جنس الحيوانات,0
الأسلام نعمة كبيرة من عند ربنا لا تقدر بكنوز الدنيا كلها,1
يعني لو عايزين يبعوه بلغوني من القرف هاض يع يع يع,0
اللهم اهدنا لكل عمل يقربنا اللى حبك,1
أسوء شيء ان تكذب لأنك ستبدأ سلسلة لا نهاية لها من الأكاذيب و في النهاية ستكشف,1
ليش هيك معجبين على الاردني,0
سلمتك بيد لله فظيع,0
اكرمك الله يا استاذي الفاضل,1
اذا دم البشر أحمر,1
الابتسامه كلمه طيبه بغير حروف,1
والله انك فشلت العرب,0
يا سلام على الوفاء اللي اتفقد في عصرنا ويا حسرتاه على الحب الذي بات مجرد كلمات,1
فضحتونا من وين نحنا بال عنا برامج هيك تافها ومخمجي,0
والله انا نفسي بزعل اذا رجعت لانه مش احنا اللي بنستحقها,0
و جنة النعيم من الرحمن,1
سعودي متهور,0
نعم فى البدايه كلهم اروع من الروعة,1
الاسلام هو حسن الخلق ألا تعرف بأن الحبيب صلى الله عليه و سلم لقب أمينا قبل نزول الوحي,1
عجبتني,1
يا رب اعني ع إتخاذ القرار,1
لبنان وزبالتوا,0
هي عندها صوت قوي بس للأسف الحين مثل غيرها,0
والله انك ما زلية يا شيخ اكيد مدفوعله من تحت ل تحت,0
و الله مش عارفة شو بدنا نسوي نشحد مثلا,0
منكو لله احنا لاقيين حق الخبز لحتى ترفعو البنزين صار الواحد يحب يخلص دراسه عشان ما يضل بلاردن لانو ما فيها اشي لا رواتب و لا اشي جد بلد مش فقير بس كلو بوكل كلو و الله ما بنلوم الحراميه ع هيك بلد,0
اكدب عليك انت منو اللي كاذب عليك,0
لازم يحكم عليهم بالسجن,0
ان الله هو الرزاق دو القوة المتين,1
اللهم اعنى على ترك المعاصى حبا فى نور وجهك,1
يارب توب علينا وساعدنا نتوب وبصرنا بعيوبنا لان ساعات كتير بننسه,1
لا مو حلو,0
العجوز هذا والرجال إلي بجنبه بله وأغبياء وأنهم يثبطون الواحد,0
اللهم انزع من قلوبنا مالا يرضيك,1
التشائم يقتل الحياة,1
إن الدين عند الله الإسلام هذا هو الدين الذي يجب أن يعتنقه كل إنسان علي وجه الأرض وليس العرب فقط اللهم أهدي غير المسلمين إلي دين الإسلام,1
لإنه النووي ضرره علينا اكتر بكتير من فوائده,0
فظيعين,0
الدين المعاملة,1
سخافات وتخلف شباب وصبايا هل الأيام,0
من الي ضاحك عليهم انو اصواتهم حلوة,0
يلعن ابو الاشكال بس,0
صباح الفل,1
ناس تبي تتمصخر ماتدري شلون,0
قمة التخلف والانحطاط,0
المرة الجاية راح يكون الرفع للميه اذا استمر الخلط,0
رئيس مو عارف يحكي حرف الاس روح تخيب ولك يلعنها انيسه على هيك جحش خلفتو,0
أللهم ثبت قلوبنا على الإيمان,1
سبحان الله غصبن على الي مايرضى ودهم يروحون النار حتى بالحرام موفالحين,0
حرام عليك كانو بقرة بتولد,0
برنامج معوق ومشاركين معوقين,0
يارب اجمع امتك علي دينك يارب وشت اعداء الدين,1
عفكره البيج هاد قرفني وقلب معدتي شو للاسف انتا انو عرفك انه هيك الوضع بتفتح بالفنجان يا ناس خفوا علينا الدين مش للايكات وكمنتات,0
الله على الظالمين,0
تليفيزيون المستقبل صار سيء للغاية ما أدري ليش,0
الله يفتح عليك,1
اللهم لا تدع لى ذنبا الا غفرتة اللهم اصلح لى دينى,1
كلماتك عذبة,1
اي و الله صحيح أهم شي الانسان كرامته,1
الحمد لله على نعمة الإسلام,1
الله يلعنكم يا اولاد الحرام الفن له اهله وناسه لا يحتاج لا مسابقة ولا زبي تفو,0
املأ رئتيك بعبق السماء مع ولادة صباح جديد تهتز له الحياة و تحتفل أيقظ عقلك بالنور و ابعث همتك حية متوثبة ، لتطوي نهارك في فرح,1
احلى زبالة بوجهك,0
ينور عليك ويكثر من امثالك,1
يا خسارة عليكو يا شباب المستقبل,0
دربي زدني ثقتا بك فانه لايخيب من وثق بك,1
التفائل حلو في الحياة بس الاهم تكون عايش مع ناس متفائلين مش تكون لحالك المتفائل,1
اصدقاء اوفياء ونتعلم منهم,1
قرف شوهاد شي بخزي عنجد,0
لا للناووي,0
مااكرمك يا ربي يا كريم,1
لا مو حقودين ولا شي بس الحق يقال ان الكوميديا مو حلوة على الشاميين,0
حركة ارحمينا الله يشيلك اقول كيف اخوكي وابوكي راضيين عنك اف عندك ايزي,0
شو عادي يزم انتا ما عندك دم ونخوه يزم انتا مش بني ادم ترى ورح طير,0
إذا غلبك أمر وعجزت عن التعامل معه فكرر يا حي يا قيوم برحمتك استغيث,1
اللهم ارزقنا الاخلاص في القول و العمل و في السر و العلن و في الرخاء و الشده و في العافيه و المرض و عند الابتلاء,1
الله يهدي النفوس,1
يخسو الشيعه الخنزير,0
يعني يجبون كم واحد يعطونهم فلوس ويجون يستهبلوا عندهم عشان يحركون البرنامج,0
يارب اوقف جنبي وقدرني,1
يسعد صباحك بذكر الرحمان,1
الرابع سكران,0
تنظرون لا الشام يقتلون بدم بارد,0
وادم علينا يارب نعمة الامن والامان وسائر بلاد المسلمين,0
ابتسم و هدي اعصابك,1
اللهم اغننا بحلالك عن حرامك و اغننا بفضلك عمن سواك,1
أنا ضد النووي و الأﺟﺪﻯ ﺑﺪﻭﻟﻪ كالأردن البحث عن مصادر للطاقه النظيفه و خصوصا إننا نفتقر للماء و الأجدى بنا أيضا أن نبحث عن سبل لحل مشكلة المياه بالمبالغ التي ستصرف على المفاعلات النوويه,0
ياخي برنامج السامج,0
أنوا ا ا ا ا ا ا اع الشماته هالكلبا,0
يارب ارزق العزيمة لاتخاذ القرار ويا رب اخلفنا خيرا منه,1
اقولها لكل احبابي,1
و رزقك خير هذا اليوم,1
مااجمل الوفاء,1
احسن أظن بالله وتوكل عليه وحده,1
صباح الفل و الورد يا شيخ سلمان عطر الله صباحك بذكره و شكره و حسن عبادته,1
اللهم ارزقنا رزقا حلالا,1
لك كلك ذوق و حكمه,1
متى يجي عام عشان ادخل رجلي مع الشاشه واحطها بفمك,0
لا تحزن الدنيا ما فيها اشي تحزن عليه,1
فاشله,0
ما اروع برنامج الطريق الى الله,1
الله يكثر الافراح,1
والله على بالي مجنون,0
الله يفضح امكم فضحتونا شو هالسخافه,0
مش عارف لية بيتحوله و هما الى دواره عليك وكان نفسهم تكون معاهم فى الأول,1
يا عالم النواوي خطير بحرق الاخضر و اليابس غلطة واحده كارثه,0
واجعلنا من سكانها,1
وهاي المضروبه جايخه على وين,0
أفعال لا تحتاج إلى أقوال,1
رح مت,0
يلعن روحك,0
من وين انجيب حرام عليكم,0
قرف,0
ازعج شي الكذب,1
الشعب الذي اختار نواب خرجين سجون و سوابق بستاهل اكثر من هيك مشان دينار الله لا يرد هيك شعب,0
هه هدول مجانين اكيد ما بوافق مش هبلة انا,0
الشب السوري مظلوم,0
و بحب الناس الرايقه الي بتضحك على طول,1
الظن,1
صحيح انك سافل,0
برنامج قديم,0
نسمات انتعاش الفجر رحمات يظفر بها اهل النور التام الذين توسعت صدورهم بانشراح جماعة الفجر و حيوية صبح يتنفس منتشيا و مرحبا بكل مبادر للخير,1
و إلى أسماء الاسد كــس أخــت زوجــك,0
يا حلالي ويا مالي ايوش هييك لازم من زمان,1
صباحك خير يا دكتور سلمان,1
لا تحزن ان الله معك,1
كن انت التغير الذي تريد ان تراه,1
قصة فى منتهى الروعة,1
يميي شو هالاكلات الزاكبة هاي شهتونا,1
مياعة وسئالة من عدولة والي معو,0
وش جابني هنا ثقيلين دم,0
زماان المطربيين اللى غنو لهم المعاتيه دول ولعو فى مقابرهم وبيعيطو بدل الدموع دم على تراثهم اللى راح,0
الله اكبر ولله الحمد,1
اللهم أغفر لى و لأمة المسلمين أجمعين,1
المفاعل النووي سيحتاج لشريك استراتيجي يمتلكه او جزء كبير منه و ستدفع الحكومة الأردنية ثمن الكهرباء لهذا المستثمر لذلك يوجد احتمال كبير ان ترتفع هذه الفاتورة,0
موضوع اكتر من رآئع,1
يلعن ابو التفاهه,0
ما أجمل من مثل هذا الحب الصادق الشفا,0
هذول مساجين ولا ايش,0
فعلا ده صحىح مثلا زى سماع الاغانى التى تلهى عن زكر الله لو تركتها لله ىملا الله قلبك بحبه ولاتشغل بالك الا بذكره,1
دعاء جميل ماشاء الله,1
هذا سلامي يسبق البرق و الطير فيه الحروف معطرة بالتحية,1
